epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,3474.49,0.79,0.66157,1.03278,0.82027,0.74699,0.80519,0.59349,0.99595,0.98102,1.02782,0.0005744,0.0005744,0.0005744
74,3521.99,0.78639,0.66916,1.03607,0.83322,0.76707,0.79856,0.58615,0.9728,0.96594,1.02176,0.0005546,0.0005546,0.0005546
75,3569.44,0.78086,0.6463,1.03055,0.81941,0.751,0.79215,0.59366,0.96654,0.93649,1.01974,0.0005348,0.0005348,0.0005348
76,3617.13,0.78442,0.65001,1.03292,0.79016,0.76305,0.80261,0.60968,0.93781,0.92111,1.02888,0.000515,0.000515,0.000515
77,3664.51,0.76743,0.63883,1.02458,0.82449,0.75904,0.79903,0.59995,0.95924,0.96781,1.01302,0.0004952,0.0004952,0.0004952
78,3711.78,0.76936,0.6395,1.0255,0.79501,0.76321,0.7898,0.59282,0.93262,0.94339,1.01399,0.0004754,0.0004754,0.0004754
79,3758.86,0.77756,0.6413,1.02835,0.87015,0.72289,0.78832,0.59637,0.95747,0.94458,1.02491,0.0004556,0.0004556,0.0004556
80,3806.17,0.76682,0.62065,1.02059,0.79415,0.77108,0.79916,0.5929,0.97727,0.95288,1.03798,0.0004358,0.0004358,0.0004358
81,3853.82,0.76827,0.63708,1.02615,0.83012,0.74576,0.78817,0.58382,0.97772,0.96539,1.02225,0.000416,0.000416,0.000416
82,3901.07,0.76289,0.62448,1.01745,0.83526,0.751,0.79205,0.59543,0.93163,0.95516,1.00318,0.0003962,0.0003962,0.0003962
83,3948.46,0.76184,0.62108,1.0185,0.79055,0.77306,0.78462,0.58195,0.97468,0.93886,1.03192,0.0003764,0.0003764,0.0003764
84,3996,0.76521,0.62789,1.02198,0.80572,0.77912,0.79345,0.59743,0.9741,0.94159,1.01655,0.0003566,0.0003566,0.0003566
